Symbol,Side,Qty,Avg Fill Price,Take Profit,Stop Loss,Last Price,P&L (value),P&L (currency)
BYBIT:KASUSDT,Short,500000,0.16134,0.16059,,0.16225,-460.56119999998816,USD
BYBIT:BTCUSDT,Long,99.9996,68384.45,68398,,68290,-9457.486289902705,USD
