Symbol,Side,Qty,Avg Fill Price,Take Profit,Stop Loss,Last Price,P&L (value),P&L (currency)
BYBIT:KASUSDT,Short,500000,0.16159,0.16084,,0.16164,-25.031999999997243,USD
BYBIT:BTCUSDT,Long,99.9996,68384.45,68398,,68140.98,-24378.066647343476,USD
