Symbol,Side,Type,Qty,Price,Fill Price,Commission,Placing Time,Closing Time,Order id
BITSTAMP:BTCUSD,Sell,Market,7000,50936,50936,356.5520,2024-02-23 18:43:35,2024-02-23 18:43:35,1189187212
BITSTAMP:BTCUSD,Buy,Take Profit,7000,50931,50931,356.5170,2024-02-23 18:43:35,2024-02-23 18:45:31,1189187213
BYBIT:BTCUSDC,Sell,Market,100,51051.25,51051.25,5.0646,2024-02-23 18:50:57,2024-02-23 18:50:57,1189202332
BYBIT:BTCUSDC,Buy,Take Profit,100,51051.21,51050.93,5.0646,2024-02-23 18:50:57,2024-02-23 18:51:05,1189202333
AMEX:GBTC,Sell,Market,100,45.63,45.63,0.0046,2024-02-23 18:51:53,2024-02-23 18:51:53,1189204592
AMEX:GBTC,Buy,Take Profit,100,45.61,45.61,0.0046,2024-02-23 18:51:53,2024-02-23 18:52:58,1189204593
CRYPTO:BTCUSD,Sell,Market,100,51008.47,51008.47,5.1008,2024-02-23 18:55:58,2024-02-23 18:55:58,1189213250
CRYPTO:BTCUSD,Buy,Take Profit,100,51006.35,51006.23,5.1006,2024-02-23 18:55:58,2024-02-23 18:56:01,1189213251
BITSTAMP:BTCUSD,Sell,Market,7000,51443,51443,360.1010,2024-02-26 09:12:14,2024-02-26 09:12:14,1191458649
BITSTAMP:BTCUSD,Buy,Take Profit,7000,51438,51438,360.0660,2024-02-26 09:12:14,2024-02-26 09:16:01,1191458650
BYBIT:BTCUSDT,Buy,Market,99.9996,54566.31,54566.31,5.4020,2024-02-26 23:32:33,2024-02-26 23:32:33,1192993202
BYBIT:BTCUSDT,Sell,Take Profit,99.9996,54567.81,54571.99,5.4026,2024-02-26 23:32:33,2024-02-26 23:32:39,1192993203
BITSTAMP:BTCUSD,Buy,Market,7000,54628,54628,382.3960,2024-02-26 23:33:21,2024-02-26 23:33:21,1192993656
BITSTAMP:BTCUSD,Sell,Market,7000,54623,54623,382.3610,2024-02-26 23:34:31,2024-02-26 23:34:31,1192994286
BITSTAMP:BTCUSD,Buy,Market,7000,54621,54621,382.3470,2024-02-26 23:34:59,2024-02-26 23:34:59,1192994543
BITSTAMP:BTCUSD,Sell,Market,7000,54633,54633,382.4310,2024-02-26 23:35:47,2024-02-26 23:35:47,1192994977
OANDA:BTCUSD,Buy,Market,7000,54676.6,54676.6,382.7362,2024-02-26 23:36:21,2024-02-26 23:36:21,1192995334
OANDA:BTCUSD,Sell,Take Profit,7000,54675.1,54675.8,382.7306,2024-02-26 23:36:21,2024-02-26 23:37:12,1192995335
BITSTAMP:BTCUSD,Buy,Market,7000,56281,56281,393.9670,2024-02-27 10:09:40,2024-02-27 10:09:40,1193537928
