Symbol,Side,Type,Qty,Price,Fill Price,Take Profit,Stop Loss,Status,Placing Time,Order id,Expiry
BITSTAMP:BTCUSD,Sell,Take Profit,7000,49126,49127,,,Filled,2024-02-13 22:04:08,1173562416,2024-05-13 23:04:08
BITSTAMP:BTCUSD,Buy,Market,7000,49120,49120,49126,,Filled,2024-02-13 22:04:08,1173562415,2024-03-13 22:04:08
OANDA:BTCUSD,Sell,Take Profit,7000,49194.9,49197.4,,,Filled,2024-02-13 22:06:25,1173565833,2024-05-13 23:06:25
OANDA:BTCUSD,Buy,Market,7000,49192.6,49192.6,49194.9,,Filled,2024-02-13 22:06:25,1173565832,2024-03-13 22:06:25
