Symbol,Side,Type,Qty,Price,Fill Price,Take Profit,Stop Loss,Status,Placing Time,Order id,Expiry
BYBIT:BTCUSDT,Sell,Take Profit,99.9996,68398,,,,Working,2024-03-05 01:18:35,1206061214,2024-06-05 02:18:35
BYBIT:KASUSDT,Buy,Take Profit,500000,0.16084,,,,Working,2024-03-05 01:23:44,1206065799,2024-06-05 02:23:44
BYBIT:KASUSDT,Sell,Market,500000,0.16159,0.16159,0.16084,,Filled,2024-03-05 01:23:44,1206065798,2024-04-05 02:23:44
