Symbol,Side,Type,Qty,Price,Fill Price,Take Profit,Stop Loss,Status,Placing Time,Order id,Expiry
BITSTAMP:BTCUSD,Sell,Take Profit,7000,52270,52273,,,Filled,2024-02-15 19:15:04,1177010988,2024-05-15 20:15:04
BITSTAMP:BTCUSD,Buy,Market,7000,52265,52265,52270,,Filled,2024-02-15 19:15:04,1177010987,2024-03-15 19:15:04
BITSTAMP:BTCUSD,Sell,Take Profit,7000,52273,52273,,,Filled,2024-02-15 19:11:31,1177004373,2024-05-15 20:11:31
BITSTAMP:BTCUSD,Buy,Market,7000,52268,52268,52273,,Filled,2024-02-15 19:11:31,1177004372,2024-03-15 19:11:31
BITSTAMP:BTCUSD,Sell,Take Profit,7000,51830,51839,,,Filled,2024-02-15 09:58:54,1175978715,2024-05-15 10:58:54
BITSTAMP:BTCUSD,Buy,Market,7000,51831,51831,51830,,Filled,2024-02-15 09:58:54,1175978714,2024-03-15 09:58:54
OANDA:BTCUSD,Sell,Take Profit,7000,52370.1,52371,,,Filled,2024-02-15 14:52:27,1176316220,2024-05-15 15:52:27
OANDA:BTCUSD,Buy,Market,7000,52368.6,52368.6,52370.1,,Filled,2024-02-15 14:52:27,1176316219,2024-03-15 14:52:27
