Symbol,Side,Type,Qty,Price,Fill Price,Take Profit,Stop Loss,Status,Placing Time,Order id,Expiry
BITSTAMP:BTCUSD,Sell,Take Profit,7000,59982,,,,Working,2024-02-28 20:21:50,1196904266,2024-05-28 21:21:50
BITSTAMP:BTCUSD,Buy,Market,7000,59971,59971,59982,,Filled,2024-02-28 20:21:50,1196904265,2024-03-28 20:21:50
BITSTAMP:BTCUSD,Sell,Take Profit,7000,59383,59384,,,Filled,2024-02-28 13:32:08,1195812053,2024-05-28 14:32:08
BITSTAMP:BTCUSD,Buy,Market,7000,59372,59372,59383,,Filled,2024-02-28 13:32:08,1195812052,2024-03-28 13:32:08
BITSTAMP:BTCUSD,Sell,Take Profit,7000,59358,59362,,,Filled,2024-02-28 13:18:42,1195794893,2024-05-28 14:18:42
BITSTAMP:BTCUSD,Buy,Market,7000,59347,59347,59358,,Filled,2024-02-28 13:18:42,1195794892,2024-03-28 13:18:42
BYBIT:KASUSDT,Sell,Take Profit,100000,0.18075,0.18076,,,Filled,2024-02-28 13:19:14,1195795531,2024-05-28 14:19:14
BYBIT:KASUSDT,Buy,Market,100000,0.18,0.18,0.18075,,Filled,2024-02-28 13:19:14,1195795530,2024-03-28 13:19:14
