Symbol,Side,Type,Qty,Price,Fill Price,Take Profit,Stop Loss,Status,Placing Time,Order id,Expiry
BITSTAMP:BTCUSD,Buy,Take Profit,7000,51701,51701,,,Filled,2024-02-14 15:35:13,1174539007,2024-05-14 16:35:13
BITSTAMP:BTCUSD,Sell,Market,7000,51708,51708,51701,,Filled,2024-02-14 15:35:13,1174539006,2024-03-14 15:35:13
OANDA:EURUSD,Buy,Market,3333,1.07134,1.07134,,,Filled,2024-02-14 15:15:35,1174504185,2024-03-14 15:15:35
OANDA:EURUSD,Buy,Take Profit,3333,1.0687,,,,Cancelled,2024-02-14 12:16:47,1174269545,2024-05-14 13:16:47
OANDA:EURUSD,Sell,Market,3333,1.0697,1.0697,0.06976,,Filled,2024-02-14 12:16:47,1174269544,2024-03-14 12:16:47
